X-Coordinate:   Y-Coordinate:   Z-Coordinate:
  1853856.023       -2380.566       -1428.34
  1864661.134       -2362.239      -1417.343
  1875466.244       -2343.912      -1406.347
  1886271.353       -2325.584      -1395.351
   1897076.46       -2307.257      -1384.354
  1907881.566        -2288.93      -1373.358
   1918686.67       -2270.602      -1362.361
  1929491.774       -2252.275      -1351.365
  1940296.876       -2233.948      -1340.369
  1951101.977        -2215.62      -1329.372
  1961907.076       -2197.293      -1318.376
  1972712.175       -2178.966       -1307.38
  1983517.272       -2160.639      -1296.383
  1994322.368       -2142.311      -1285.387
  2005127.463       -2123.984       -1274.39
  2015932.556       -2105.656      -1263.394
  2026737.649       -2087.329      -1252.397
   2037542.74       -2069.002      -1241.401
  2048347.831       -2050.674      -1230.405
   2059152.92       -2032.347      -1219.408
  2069958.008        -2014.02      -1208.412
  2080763.095       -1995.692      -1197.415
   2091568.18       -1977.365      -1186.419
  2102373.265       -1959.038      -1175.423
  2113178.349        -1940.71      -1164.426
  2123983.431       -1922.383       -1153.43
  2134788.513       -1904.056      -1142.433
  2145593.594       -1885.728      -1131.437
  2156398.673       -1867.401      -1120.441
